Fri Dec  3 11:17:36 2021 Fold 1, Epoch 17, lr: 0.0000101, train loss: 0.14527, valid loss: 0.17870, acc: 94.6524, auc: 0.894823, auc_20: 0.894823.
Fri Dec  3 11:23:59 2021 Fold 1, Epoch 18, lr: 0.0000026, train loss: 0.14126, valid loss: 0.18262, acc: 94.6677, auc: 0.893431, auc_20: 0.893431.
Fri Dec  3 11:30:22 2021 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.54325, valid loss: 0.27284, acc: 93.4706, auc: 0.800201, auc_20: 0.800201.
Fri Dec  3 11:36:45 2021 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.28676, valid loss: 0.21019, acc: 94.3555, auc: 0.859464, auc_20: 0.859464.
Fri Dec  3 11:43:09 2021 Fold 2, Epoch 3, lr: 0.0002974, train loss: 0.24780, valid loss: 0.21730, acc: 93.7452, auc: 0.873505, auc_20: 0.873505.
Fri Dec  3 11:49:32 2021 Fold 2, Epoch 4, lr: 0.0002899, train loss: 0.23476, valid loss: 0.20976, acc: 94.2792, auc: 0.844283, auc_20: 0.844283.
Fri Dec  3 11:55:55 2021 Fold 2, Epoch 5, lr: 0.0002775, train loss: 0.22191, valid loss: 0.19468, acc: 94.6301, auc: 0.888073, auc_20: 0.888073.
Fri Dec  3 12:02:18 2021 Fold 2, Epoch 6, lr: 0.0002609, train loss: 0.21427, valid loss: 0.20224, acc: 93.9893, auc: 0.891607, auc_20: 0.891607.
Fri Dec  3 12:08:42 2021 Fold 2, Epoch 7, lr: 0.0002404, train loss: 0.20736, valid loss: 0.20413, acc: 94.2029, auc: 0.866211, auc_20: 0.866211.
Fri Dec  3 12:15:04 2021 Fold 2, Epoch 8, lr: 0.0002169, train loss: 0.19661, valid loss: 0.19381, acc: 94.5233, auc: 0.907107, auc_20: 0.907107.
Fri Dec  3 12:21:27 2021 Fold 2, Epoch 9, lr: 0.0001910, train loss: 0.19152, valid loss: 0.19280, acc: 94.4928, auc: 0.899349, auc_20: 0.899349.
Fri Dec  3 12:27:50 2021 Fold 2, Epoch 10, lr: 0.0001638, train loss: 0.18624, valid loss: 0.20525, acc: 94.3402, auc: 0.900751, auc_20: 0.900751.
Fri Dec  3 12:34:13 2021 Fold 2, Epoch 11, lr: 0.0001362, train loss: 0.17525, valid loss: 0.19729, acc: 94.4928, auc: 0.910193, auc_20: 0.910193.
