Sat Dec  4 12:55:01 2021 Fold 3, Epoch 8, lr: 0.0000439, train loss: 0.18081, valid loss: 0.17883, acc: 94.6595, auc: 0.913701, auc_20: 0.913701.
Sat Dec  4 13:01:28 2021 Fold 3, Epoch 9, lr: 0.0000114, train loss: 0.17337, valid loss: 0.17766, acc: 94.7972, auc: 0.916591, auc_20: 0.916591.
Sat Dec  4 13:07:55 2021 Fold 4, Epoch 1, lr: 0.0000300, train loss: 0.53507, valid loss: 0.25449, acc: 93.8219, auc: 0.829008, auc_20: 0.829008.
Sat Dec  4 13:14:07 2021 Fold 4, Epoch 2, lr: 0.0003000, train loss: 0.28695, valid loss: 0.21333, acc: 94.3584, auc: 0.862284, auc_20: 0.862284.
Sat Dec  4 13:20:28 2021 Fold 4, Epoch 3, lr: 0.0002886, train loss: 0.25079, valid loss: 0.19955, acc: 94.4964, auc: 0.873714, auc_20: 0.873714.
Sat Dec  4 13:26:36 2021 Fold 4, Epoch 4, lr: 0.0002561, train loss: 0.22760, valid loss: 0.18566, acc: 94.5271, auc: 0.902697, auc_20: 0.902697.
Sat Dec  4 13:33:02 2021 Fold 4, Epoch 5, lr: 0.0002074, train loss: 0.21645, valid loss: 0.18662, acc: 94.6957, auc: 0.893262, auc_20: 0.893262.
Sat Dec  4 13:39:29 2021 Fold 4, Epoch 6, lr: 0.0001500, train loss: 0.20717, valid loss: 0.19782, acc: 94.1745, auc: 0.893865, auc_20: 0.893865.
Sat Dec  4 13:45:56 2021 Fold 4, Epoch 7, lr: 0.0000926, train loss: 0.19371, valid loss: 0.18050, acc: 94.4197, auc: 0.910524, auc_20: 0.910524.
Sat Dec  4 13:52:24 2021 Fold 4, Epoch 8, lr: 0.0000439, train loss: 0.18503, valid loss: 0.17833, acc: 94.6804, auc: 0.909992, auc_20: 0.909992.
Sat Dec  4 13:58:51 2021 Fold 4, Epoch 9, lr: 0.0000114, train loss: 0.17724, valid loss: 0.17849, acc: 94.4351, auc: 0.910832, auc_20: 0.910832.
