Sat Dec  4 17:14:24 2021 Fold 3, Epoch 7, lr: 0.0000926, train loss: 0.19691, valid loss: 0.17936, acc: 94.8738, auc: 0.901747, auc_20: 0.901747.
Sat Dec  4 17:30:19 2021 Fold 3, Epoch 8, lr: 0.0000439, train loss: 0.18646, valid loss: 0.18121, acc: 94.8432, auc: 0.908083, auc_20: 0.908083.
Sat Dec  4 17:46:13 2021 Fold 3, Epoch 9, lr: 0.0000114, train loss: 0.17676, valid loss: 0.17520, acc: 94.7207, auc: 0.913765, auc_20: 0.913765.
Sat Dec  4 18:02:07 2021 Fold 4, Epoch 1, lr: 0.0000300, train loss: 0.36129, valid loss: 0.21820, acc: 94.2818, auc: 0.878203, auc_20: 0.878203.
Sat Dec  4 18:17:54 2021 Fold 4, Epoch 2, lr: 0.0003000, train loss: 0.28505, valid loss: 0.22930, acc: 94.2971, auc: 0.858172, auc_20: 0.858172.
Sat Dec  4 18:33:06 2021 Fold 4, Epoch 3, lr: 0.0002886, train loss: 0.24328, valid loss: 0.20029, acc: 94.3278, auc: 0.892752, auc_20: 0.892752.
Sat Dec  4 18:49:00 2021 Fold 4, Epoch 4, lr: 0.0002561, train loss: 0.23063, valid loss: 0.19209, acc: 94.5424, auc: 0.883646, auc_20: 0.883646.
Sat Dec  4 19:04:51 2021 Fold 4, Epoch 5, lr: 0.0002074, train loss: 0.21928, valid loss: 0.20132, acc: 94.5884, auc: 0.882319, auc_20: 0.882319.
Sat Dec  4 19:20:41 2021 Fold 4, Epoch 6, lr: 0.0001500, train loss: 0.20989, valid loss: 0.18948, acc: 94.5884, auc: 0.898493, auc_20: 0.898493.
Sat Dec  4 19:36:35 2021 Fold 4, Epoch 7, lr: 0.0000926, train loss: 0.19631, valid loss: 0.18307, acc: 94.5730, auc: 0.899695, auc_20: 0.899695.
Sat Dec  4 19:52:29 2021 Fold 4, Epoch 8, lr: 0.0000439, train loss: 0.18648, valid loss: 0.17067, acc: 94.8797, auc: 0.911286, auc_20: 0.911286.
Sat Dec  4 20:08:23 2021 Fold 4, Epoch 9, lr: 0.0000114, train loss: 0.17851, valid loss: 0.17208, acc: 94.8030, auc: 0.914997, auc_20: 0.914997.
