Wed Dec  1 08:49:39 2021 Fold 1, Epoch 17, lr: 0.0000101, train loss: 0.13636, valid loss: 0.17728, acc: 94.7594, auc: 0.911362, auc_20: 0.911362.
Wed Dec  1 08:55:37 2021 Fold 1, Epoch 18, lr: 0.0000026, train loss: 0.13542, valid loss: 0.17674, acc: 94.8205, auc: 0.912069, auc_20: 0.912069.
Wed Dec  1 09:01:34 2021 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.68264, valid loss: 0.29448, acc: 93.1655, auc: 0.760203, auc_20: 0.760203.
Wed Dec  1 09:07:29 2021 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.28620, valid loss: 0.24298, acc: 94.3707, auc: 0.819598, auc_20: 0.819598.
Wed Dec  1 09:13:28 2021 Fold 2, Epoch 3, lr: 0.0002974, train loss: 0.23951, valid loss: 0.20467, acc: 94.1419, auc: 0.880748, auc_20: 0.880748.
Wed Dec  1 09:19:27 2021 Fold 2, Epoch 4, lr: 0.0002899, train loss: 0.22614, valid loss: 0.20660, acc: 94.4317, auc: 0.858638, auc_20: 0.858638.
Wed Dec  1 09:25:26 2021 Fold 2, Epoch 5, lr: 0.0002775, train loss: 0.21690, valid loss: 0.19560, acc: 94.5843, auc: 0.877948, auc_20: 0.877948.
Wed Dec  1 09:31:25 2021 Fold 2, Epoch 6, lr: 0.0002609, train loss: 0.20642, valid loss: 0.19512, acc: 94.5538, auc: 0.884261, auc_20: 0.884261.
Wed Dec  1 09:37:25 2021 Fold 2, Epoch 7, lr: 0.0002404, train loss: 0.20040, valid loss: 0.18929, acc: 94.5385, auc: 0.897360, auc_20: 0.897360.
Wed Dec  1 09:43:18 2021 Fold 2, Epoch 8, lr: 0.0002169, train loss: 0.19154, valid loss: 0.19102, acc: 94.7826, auc: 0.900809, auc_20: 0.900809.
Wed Dec  1 09:49:08 2021 Fold 2, Epoch 9, lr: 0.0001910, train loss: 0.18331, valid loss: 0.19588, acc: 94.2029, auc: 0.898913, auc_20: 0.898913.
Wed Dec  1 09:55:08 2021 Fold 2, Epoch 10, lr: 0.0001638, train loss: 0.17666, valid loss: 0.19461, acc: 94.4775, auc: 0.902129, auc_20: 0.902129.
Wed Dec  1 10:01:07 2021 Fold 2, Epoch 11, lr: 0.0001362, train loss: 0.16856, valid loss: 0.20000, acc: 94.4928, auc: 0.902530, auc_20: 0.902530.
Wed Dec  1 10:07:06 2021 Fold 2, Epoch 12, lr: 0.0001090, train loss: 0.15878, valid loss: 0.19671, acc: 94.4928, auc: 0.900555, auc_20: 0.900555.
